display_no,title,name,organisation,designation
1,Ms.,Olwethu Ketsekile,IMbekoYethu Consultancy and advisory services,Chief Executive Officerr
2,Dr.,Tshifhiwa Maumela,ICASA,Councillor
3,Mr.,Mandlakayise Thabethe,Absa,Lead Technology
4,Prof.,Antonio Pooe,Surveyfiesta,Director
5,Mr.,Mogorosi Solly Monama,Struggles Descartes (Pty) Ltd,Managing Director
6,Prof.,Mpho Primus,Institute for Artificial Intelligent Systems,Co-Director
7,Mr.,Mothibi Ramusi,ICASA,Chairperson
8,Mr.,John Bosco Arends,Chartered CIO Council,Chairperson
9,Dr.,Thabo Lehlokoe,Tafari Capital,Chairman
10,Mrs.,Nokuthula Nokky Ndlovu,Black Management Forum,Board member
11,Mrs.,Mamela Luthuli,Takenote group of companies,Founder and Chief Executive Officerr
12,Dr.,Cyril Baloyi,Cyril B Group,Director
13,Dr.,Rendani Mamphiswana,iCatalysis Hub,Innovation Director
14,Adv.,Lufuno T Tshikalange,Orizur Consulting Enterprise,Founder and Director
15,Mr.,Matodzi Ratshimbilani,MVR Attorneys,Managing Director
16,Ms.,Jeanette Morwane,DCDT,Acting DDG
17,Mr.,Rendani Mutheiwana,Department of Gauteng EGOV,Chief Director Strategic Management
18,Mr.,Dikgang Moopeloa,Zonke-Unicode,Managing Director
19,Ms.,Veronica Motloutsi,SEDFA (Small Enterprise Development Finance Agency),Group Executive: Digital Transformation and Innovation
20,Prof.,Greg Serandos,African Academy of AI,Chief Executive Officerr
21,Mr.,Dan Ramahotswa,OpenText,Senior Account Executive
22,Dr.,Stanley Mgobansimbi Mpofu,Wits University,Chief Information Officer
23,Dr.,Brenda Didi,Momentum Group,Chief Risk Officer
24,Dr.,Phathiswa Magopeni,Press Council of South Africa,Executive Director
25,Mr.,Pandelani Munyai,Transnet,Group Chief Information Officer
26,Ms.,Marilyn White,Soma Solutions,Chief Executive Officerr
27,Ms.,Poppy Tshabalala,National Lotteries Commission,Chief Information Officer
28,Mr.,Abraham Mahlangu,SASSA,Chief Information Officer
29,Mr.,Denice Manganye,E-SEK TECHNOLOGY SOLUTIONS,Chief Executive Officerr
30,Ms.,Faith Burn,Land agricultural and development bank,Chief technology and operations officer
31,Ms.,Unathi Mtya,Technology & Digital Transformation Executive,Independent
32,Ms.,Phokeng Mogase,Financial Sector Conduct Authority (FSCA),Chief Information and Digital Officer
33,Dr.,H.E. Amb Lavina Ramkissoon,African Union,Ambassador and Co-Chair
34,Mrs.,Dillo Lehlokoe,FIBRETRONIC SALES,Chief Executive Officerr
35,Ms.,Pulana Ngwasheng,Zeda Limited (Avis),Chief Information Officer
36,Mrs.,Sophy Moumakoe,Exxaro,Chief Information Officer
37,Dr.,Mukovhe Masutha,Centre for Emerging Researchers,"Head: Research, Strategy and Advisory Services"
38,Mrs.,Vuyokazi Menye,SANRAL,Chief Information Officer
39,Ms.,Veronica Motloutsi,SEDFA,Group Executive
40,Ms.,Makano Mosidi,PIC SOC LTD,Chief Technology Officer
41,Mr.,Alfred Mohlala,Department of Public Service and Administration,Director: ICT Security
42,Mr.,Butiki Shabangu,Oracle Corporation SA,Public Sector Director - Database Platform and Cloud Infrastructure
43,Dr.,Thembekile Mayayise,University of the Witwatersrand,Senior Lecturer
44,Mr.,Thato Matsipe,North West Office of the Premier,Chief Director
45,Ms,Nazareen Ebrahim,Naz Consulting International,Founder and Principal Consultant
46,Mr.,Gaitsewe Lenepa,Beyond Face Value,Chief Executive Officerr
47,Dr.,Tshepo Feela,National Planning Commission,Commissioner
48,Prof.,Rajesh Mahabeer,Trilord Consulting (Pty) Ltd,Chief Executive Officerr
49,Mr.,Zwelithini Gabela,South African Police Service,Major General
50,Prof.,Carl Marnewick,University of Johannesburg,Professor in IT
51,Mr.,Rendani Ramabulana,Singo Network,Director
52,Mr.,Eldrid Jordaan,Eldrid Jordaan Foundation,Executive Chairman
53,Ms,Nomvuyiso Batyi,Association of Comms and Technology,Chief Executive Officer
54,Mr.,Ali Tlabela,AI Networks Pty Ltd,Director & Owner
55,Dr.,Mark Nasila,FirstRand Group,Chief Data and Analytics Officer - AI Strategy
56,Dr.,Mmaki Jantjies,Telkom,Group Executive Innovation and Transformation
57,Ms,Tumelo Zwane,Special Investigating Unit/ Department of Justice and Constitutional Development,Chief Information Officer
58,Dr.,Setumo Mohapi,Impact Tech,Director
59,Dr.,Carl Heinz Uys,Cyberspace Protection,Co-Founder
60,Mr.,Ashley Sanichar,Oracle,Country Leader/MD
61,Mr.,Patrick Le Roux,Venture Labs,Founder
62,Prof.,Isolde Lubbe,UJ SCiiS|Dep of Marketing,Head of Department
63,Ms,Wendy Tembedza,Webber Wentzel,Partner
64,Prof.,Stella Bvuma,UJ SCiiS,Director
65,Dr.,Sthembiso Khumalo,UJ SCiiS | IKM,Head of Department
66,Dr.,Kagiso Mabe,UJ SCiiS | IKM,Deputy Head of Department
67,Mr.,Ronny Mabokela,UJ SCiiS | Technopreneurship Centre,Deputy Head of Centre|DHoD
68,Mr.,Rodney de Koch,MIT|UJ,Advisory Board Member
69,Mr,Ike Phaahla,Radio2000,Host and Communication Specialist
70,Adv.,Dirontsho Mohale,Baakedi Professional Practice,"CEO , Chief Privacy, Legal & Compliance"
71,Prof.,Josef Langerman,UJ SCiiS | AIS & CADS,Head of Centre|DHoD
72,Ms,Heather Irvine,Bowmans,"Regulatory, Technology, Competition Lead and Partner"
73,Mr.,Victor Thobakgale,African Rainbow Minerals,Technology Operational lead
